from_file,imported_symbol,line
src\server\handlers\request_handler.py,request_handler_init.initialize_request,19
src\server\handlers\request_handler.py,request_handler_routing.normalize_tool_name,20
src\server\handlers\request_handler.py,request_handler_routing.handle_unknown_tool,20
src\server\handlers\request_handler.py,request_handler_model_resolution.resolve_auto_model_legacy,21
src\server\handlers\request_handler.py,request_handler_model_resolution.validate_and_fallback_model,21
src\server\handlers\request_handler.py,request_handler_context.reconstruct_context,22
src\server\handlers\request_handler.py,request_handler_context.integrate_session_cache,22
src\server\handlers\request_handler.py,request_handler_context.auto_select_consensus_models,22
src\server\handlers\request_handler.py,request_handler_monitoring.execute_with_monitor,23
src\server\handlers\request_handler.py,request_handler_execution.create_model_context,24
src\server\handlers\request_handler.py,request_handler_execution.validate_file_sizes,24
src\server\handlers\request_handler.py,request_handler_execution.inject_optional_features,24
src\server\handlers\request_handler.py,request_handler_execution.execute_tool_with_fallback,24
src\server\handlers\request_handler.py,request_handler_execution.execute_tool_without_model,24
src\server\handlers\request_handler.py,request_handler_execution.normalize_result,24
src\server\handlers\request_handler.py,request_handler_post_processing.handle_files_required,32
src\server\handlers\request_handler.py,request_handler_post_processing.auto_continue_workflows,32
src\server\handlers\request_handler.py,request_handler_post_processing.attach_progress_and_summary,32
src\server\handlers\request_handler.py,request_handler_post_processing.write_session_cache,32
src\server\handlers\request_handler.py,request_handler_model_resolution._route_auto_model,106
src\server\handlers\__init__.py,request_handler.handle_call_tool,6
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_init.initialize_request,19
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_init.build_tool_registry,19
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_init.setup_monitoring_config,19
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_init.generate_request_id,19
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_routing.normalize_tool_name,25
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_routing.check_client_filters,25
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_routing.suggest_tool_name,25
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_routing.handle_unknown_tool,25
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_model_resolution.resolve_auto_model_legacy,31
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_model_resolution.validate_and_fallback_model,31
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_context.reconstruct_context,35
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_context.integrate_session_cache,35
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_context.auto_select_consensus_models,35
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_monitoring.load_monitoring_config,40
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_monitoring.execute_with_monitor,40
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_execution.create_model_context,44
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_execution.validate_file_sizes,44
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_execution.inject_optional_features,44
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_execution.execute_tool_with_fallback,44
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_execution.execute_tool_without_model,44
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_execution.normalize_result,44
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_post_processing.handle_files_required,52
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_post_processing.auto_continue_workflows,52
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_post_processing.attach_progress_and_summary,52
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,request_handler_post_processing.write_session_cache,52
